SKU,SUPPLIER,BRAND NAME,GENERIC NAME,UOM,CATEGORY,EXPIRY DATE,TOTAL PRICE,UNIT PRICE,SELLING PRICE
371,MAC Tycoon,EYE MO - BLUE,,,MEDICINE,20/01/2019,,93.25,112
372,MAC Tycoon,EYE MO - RED,,,MEDICINE,20/03/2019,,95,114
373,MAC Tycoon,PHAREX - VITAMIN B COMPLEX,,,MEDICINE,20/04/2019,,3.75,4.5
374,MAC Tycoon,SALINASE - NASAL DROPS,,,MEDICINE,22/07/2019,,68.25,82
375,MAC Tycoon,SALINASE - NASAL SPRAY,,,MEDICINE,19/08/2019,,90,108
376,MAC Tycoon,TAWAS POWDER - HAILEY'S,,,MEDICINE,21/01/2019,,9.6,15
377,MAC Tycoon,MEMO PLUS - GOLD,,,MEDICINE,19/09/2019,,15,18
378,MAC Tycoon,XYLOGEL,,,MEDICINE,20/01/2019,,138,166
379,MAC Tycoon,TEMPRA 1-5 YEARS,,60 ML,MEDICINE,19/11/2019,,83.5,105
380,MAC Tycoon,TEMPRA DROPS,,,MEDICINE,19/09/2019,,72.5,89
381,MAC Tycoon,GROWEE DROPS,,15 ML,MEDICINE,19/03/2019,,78,94
382,MAC Tycoon,GROWEE,,120 ML,MEDICINE,19/02/2019,,140,169
383,MAC Tycoon,CLUSIVOL PLUS,,,MEDICINE,20/04/2019,,6.25,8
384,MAC Tycoon,ASCORBIC ACID - RHEA,,,MEDICINE,20/05/2019,,149,180
