SKU,SUPPLIER,BRAND NAME,GENERIC NAME,UOM,CATEGORY,EXPIRY DATE,TOTAL PRICE,UNIT PRICE,SELLING PRICE
158,MeedPharma,AMBICA,ACETYLCYSTEINE,200mg GRANULES,MEDICINE,31/10/2019,,7,12
159,MeedPharma,FLUCYSTEINE,ACETYLCYSTEINE,600mg POWDER,MEDICINE,30/11/2019,,12,18
160,MeedPharma,ASCOF FORTE,,600mg TABLET,MEDICINE,30/01/2022,,5,7.5
161,MeedPharma,ZENOBLOC,ATENOLOL,100mg TABLET,MEDICINE,30/08/2019,,1.83,7.5
162,MeedPharma,ZENOBLOC,ATENOLOL,50mg TABLET,MEDICINE,31/08/2020,,1.08,5.5
163,MeedPharma,BRELVASTIN,ATORVASTATIN,40mg TABLET,MEDICINE,30/11/2020,,2.7,14
164,MeedPharma,DIZZEX,BETAHISTINE,16mg TABLET,MEDICINE,28/02/2019,,5.1,26
165,MeedPharma,BUDESON,BUDESONIDE,NEBULE,MEDICINE,30/03/2019,,10.71,17
166,MeedPharma,MEFECOD,BUTAMIRATE,50mg TAB,MEDICINE,30/10/2019,,9.5,15
167,MeedPharma,MUCOFLEM,CARBOCISTEINE,500mg CAP,MEDICINE,30/06/2019,,0.92,5
168,MeedPharma,EODILOL,CARVEDILOL,25mg TAB,MEDICINE,30/12/2020,,3.43,7
169,MeedPharma,LAXIME,CEFUROXIME,500mg TAB,MEDICINE,30/09/2019,,11,28
170,MeedPharma,XELIC,CELECOXIB,400mg CAP,MEDICINE,28/02/2020,,8.25,22
171,MeedPharma,ACRESIL,CLINDAMYCIN,150mg CAP,MEDICINE,30/11/2019,,1.97,4
172,MeedPharma,ACRESIL,CLINDAMYCIN,300mg CAP,MEDICINE,31/10/2020,,3.6,8
173,MeedPharma,PHILCLOX,CLOXACILLIN,500mg CAP,MEDICINE,30/08/2019,,1.6,7
174,MeedPharma,GOUTNIL,COLCHICINE,500mcg TAB,MEDICINE,31/05/2020,,1.42,7
175,MeedPharma,PROTEC,CONDOM BUBBLE GUM,,MEDICINE,30/05/2020,,14,21
176,MeedPharma,PROTEC,CONDOM ULTRA THIN,,MEDICINE,30/08/2021,,14,23
177,MeedPharma,DIXIN,DIGOXIN,250mcg TAB,MEDICINE,30/01/2020,,2.75,10
178,MeedPharma,HISTAMOX,DIPHENHYDRAMINE,50mg CAP,MEDICINE,30/01/2020,,0.53,6
179,MeedPharma,ABDOPEN,DOMPERIDONE,10mg TAB,MEDICINE,31/10/2020,,0.9,9
180,MeedPharma,SCHEEPRIL,ENALAPRIL,10mg TAB,MEDICINE,30/11/2019,,3.35,7
181,MeedPharma,RENITE-XL,ENALAPRIL MALEATE,5mg TAB,MEDICINE,30/11/2020,,2.2,5
182,MeedPharma,PRILSEA,ENALAPRIL MALEATE,20mg TAB,MEDICINE,30/12/2018,,0.7,10
