SKU,SUPPLIER,BRAND NAME,GENERIC NAME,UOM,CATEGORY,EXPIRY DATE,TOTAL PRICE,UNIT PRICE,SELLING PRICE
227,R8 Drugs,4G CAPSULE,,CAPSULE,MEDICINE,,,21,28
228,R8 Drugs,AMPALAYA PLUS CAPSULE,,CAPSULE,MEDICINE,20/11/2020,,6.5,8
229,R8 Drugs,AP-AP SOLUTION ,,30mL,MEDICINE,20/12/2021,,12,15
230,R8 Drugs,ASCOF FORTE ,,600mg TAB,MEDICINE,01/01/2020,,4.55,6
231,R8 Drugs,ATC GINGKO BILOBA ,,400mg SOFTGELS,MEDICINE,20/10/2019,,5.866666667,8.5
232,R8 Drugs,ATC ROBUST  2'S,,550mg,MEDICINE,20/12/2021,,108,130
233,R8 Drugs,BACTIDOL ,,120mL SYRUP,MEDICINE,20/08/2020,,135,162
234,R8 Drugs,BACTIDOL ,,60mL SYRUP,MEDICINE,20/06/2020,,81,100
235,R8 Drugs,BENADRYL EXPECTORANT ,,60mL,MEDICINE,20/06/2019,,95,114
236,R8 Drugs,BENADRYL PLAIN ,,60mL SYRUP,MEDICINE,20/08/2020,,119,143
237,R8 Drugs,BETADINE GARGLE ,,120mL,MEDICINE,20/05/2019,,142,171
238,R8 Drugs,BETADINE GARGLE ,,60mL,MEDICINE,20/05/2019,,85,102
239,R8 Drugs,BIGUERLAI TEA,,SACHET,MEDICINE,20/10/2020,,5.52,7
240,R8 Drugs,BIOFIT TEA,,SACHET,MEDICINE,20/10/2022,,4.166666667,7
241,R8 Drugs,BL CREAM,,,MEDICINE,20/10/2019,,26,33
242,R8 Drugs,BONAMINE CHEW ADULT,,,MEDICINE,20/01/2020,,11.25,14
243,R8 Drugs,BUSCOPANLET,,TAB,MEDICINE,20/10/2020,,22.5,27
244,R8 Drugs,CANESTEN ,,3gms CREAM,MEDICINE,20/08/2019,,95,114
245,R8 Drugs,CASTOR OIL ,,30mL,MEDICINE,20/02/2020,,22.95,28
246,R8 Drugs,CEBO DE MACHO ,,25gms,MEDICINE,20/01/2020,,40,48
247,R8 Drugs,CECON ,,500mg TAB,MEDICINE,,,7.05,9
248,R8 Drugs,CEELIN PLUS ,,120mL SYRUP,MEDICINE,20/09/2019,,129,155
249,R8 Drugs,CENTRUM ADVANCE ,,CAPLET,MEDICINE,20/06/2019,,9.6,12
250,R8 Drugs,CHERIFER FORTE ,,120mL SYRUP,MEDICINE,20/11/2019,,159,191
251,R8 Drugs,DEQUADIN LOZENGES (ORANGE),,LOZENGES,MEDICINE,20/04/2020,,4.2,6
252,R8 Drugs,DIATABS ,,CAPSULE,MEDICINE,20/08/2022,,6.25,7.5
253,R8 Drugs,DISUDRIN,,DROPS,MEDICINE,20/05/2019,,101,122
254,R8 Drugs,DISUDRIN ,,60mL SYRUP,MEDICINE,20/07/2019,,103,124
255,R8 Drugs,DULCOLAX ,,TABLET,MEDICINE,20/02/2020,,18.5,23
256,R8 Drugs,ENDURANZ ,,CAPSULE,MEDICINE,20/05/2020,,19,23
257,R8 Drugs,ESSENTIAL FORTE,,,MEDICINE,20/07/2019,,30.5,37
258,R8 Drugs,FLUIMUCIL EFFERVESCENT ,,600mg TABLET,MEDICINE,20/02/2020,,33.5,41
259,R8 Drugs,GAVISCON ,,10mL SACHET,MEDICINE,20/09/2019,,22,27
260,R8 Drugs,KAMILOSAN ,,15mL SPRAY,MEDICINE,20/05/2019,,394,473
261,R8 Drugs,KATIALIS MEDIUM,,,MEDICINE,20/10/2019,,27.5,33
262,R8 Drugs,KATINKO STICK,,,MEDICINE,20/07/2019,,31,38
263,R8 Drugs,KOOL FEVER INFANT 6's,,,MEDICINE,20/01/2020,,24.16666667,58
264,R8 Drugs,KOOL FEVER PEDIA 6's,,,MEDICINE,20/01/2020,,24.16666667,58
265,R8 Drugs,LIVERAIDE ,,CAPSULE,MEDICINE,20/02/2020,,18,22
266,R8 Drugs,MICARDIS ,,40mg TABLET,MEDICINE,20/05/2021,,24,29
267,R8 Drugs,MOTILIUM ,,10mg TABLET,MEDICINE,20/01/2020,,29.4,36
268,R8 Drugs,MUCOSOLVAN ADULT ,,120mL SYRUP,MEDICINE,20/05/2020,,166.5,200
269,R8 Drugs,MUCOSOLVAN PEDIA ,,120mL SYRUP,MEDICINE,20/08/2020,,123,148
270,R8 Drugs,MX3 ,,CAPSULE,MEDICINE,20/11/2019,,15,18
271,R8 Drugs,NIZORAL ,,3.5gms CREAM,MEDICINE,20/04/2021,,136,164
272,R8 Drugs,PETROLEUM JELLY ,,20g,MEDICINE,,,23.16,30
273,R8 Drugs,PETROLEUM JELLY ,,50g,MEDICINE,,,35.38,45
274,R8 Drugs,PHARMATON CAPSULE,,,MEDICINE,,,26.25,33
275,R8 Drugs,POLYNERV,,500mg TABLET,MEDICINE,,,27,35
276,R8 Drugs,POTENCEE ,,500mg TABLET,MEDICINE,20/03/2020,,5.06,7
277,R8 Drugs,PROPAN TLC ,,120mL SYRUP,MEDICINE,,,160,200
278,R8 Drugs,PROPAN W/IRON ,,CAPSULE,MEDICINE,20/10/2019,,17,21
279,R8 Drugs,REVICON ,,TABLET,MEDICINE,20/08/2019,,2.083333333,6
280,R8 Drugs,ROBITUSSIN EXPECTORANT ,,120mL SYR,MEDICINE,,,113,138
281,R8 Drugs,ROBITUSSIN ,,GEL CAPSULE,MEDICINE,,,11.25,15
282,R8 Drugs,SALICYLIC ACID ,,30mL,MEDICINE,,,11.75,16
283,R8 Drugs,SANGOBION ,,CAPSULE,MEDICINE,,,17.97,24
284,R8 Drugs,SINECOD FORTE ,,TABLET,MEDICINE,,,16.8,23
285,R8 Drugs,SLEEPASIL ,,CAPSULE,MEDICINE,,,12.5,18
286,R8 Drugs,STREPSILS COOL,,,MEDICINE,20/11/2020,,51.5,62
287,R8 Drugs,STREPSILS LEMON,,,MEDICINE,20/09/2019,,51.5,62
288,R8 Drugs,STREPSILS ORANGE,,,MEDICINE,20/10/2019,,51.5,62
289,R8 Drugs,STRESSTABS,,,MEDICINE,20/05/2020,,10.2,13
290,R8 Drugs,TERRAMYCIN PLUS ,,3.5g OINTMENT,MEDICINE,20/05/2019,,189,227
291,R8 Drugs,TOOTHACHE DROPS ,,7.5mL,MEDICINE,20/02/2020,,15.89,20
292,R8 Drugs,TROSYD ,,3.5g CREAM,MEDICINE,20/08/2019,,117,141
293,R8 Drugs,TRUST CONDOM STRAWBERRY,,,MEDICINE,20/04/2022,,19.1,24
294,R8 Drugs,WHITE FLOWER #4 ,,2.5mL,MEDICINE,20/04/2022,,44,53
295,R8 Drugs,WHITE FLOWER #5 ,,1.5mL,MEDICINE,20/04/2022,,34,41
296,R8 Drugs,(AMBIMOX) AMOXICILLIN ,,500mg CAP,MEDICINE,30/11/2020,,1.12,9
297,R8 Drugs,ARCOXIA,ETORICOXIB ,120mg TABLET,MEDICINE,20/07/2020,,75.85,100
298,R8 Drugs,ARCOXIA,ETORICOXIB ,90mg TABLET,MEDICINE,20/05/2020,,61,80
299,R8 Drugs,ARCOXIA,ETORICOXIB ,60mg TABLET,MEDICINE,20/10/2019,,55.5,73
300,R8 Drugs,ACEITE ALCAMPORADO,,,MEDICINE,20/12/2020,,17,23
301,R8 Drugs,ADVIL LIQUID GEL,,,MEDICINE,10/01/2019,,7.83,11
302,R8 Drugs,ALNIX 2.5 mg ORAL DROPS ,,10mL,MEDICINE,20/04/2019,,148,195
303,R8 Drugs,ALTHEA PILLS,,,MEDICINE,20/05/2019,,366,480
304,R8 Drugs,ATC BITTER GO ,,550mg CAPSULE,MEDICINE,20/01/2020,,7.4,10
305,R8 Drugs,ATC CALCIUM W/ VIT D ,,1.2g SOFTGELS,MEDICINE,08/01/2018,,3.4,4.5
306,R8 Drugs,ATC GARLIC OIL ,,500mg SOFTGELS,MEDICINE,20/08/2019,,4.466666667,6
307,R8 Drugs,ATC GLUCOMAX,,,MEDICINE,20/10/2019,,11.4,15
308,R8 Drugs,ATC LIVERMARIN ,,350mg,MEDICINE,20/04/2019,,8.566666667,11.25
309,R8 Drugs,ATC REDOXFAT ,,500mg,MEDICINE,20/12/2019,,14.93333333,20
310,R8 Drugs,ATC SPIRULIINA ,,500mg,MEDICINE,20/08/2019,,6.5,9
311,R8 Drugs,ATC SQUALENE ,,500mg,MEDICINE,20/05/2019,,9.466666667,13
312,R8 Drugs,BETADINE FEMININE WASH ,,100mL,MEDICINE,20/04/2019,,160,210
313,R8 Drugs,BETADINE FEMININE WASH ,,50mL,MEDICINE,20/05/2019,,100,135
314,R8 Drugs,BETNOVATE CREAM,,5g,MEDICINE,20/01/2019,,273,355
315,R8 Drugs,CALMOSEPTINE OINT,,,MEDICINE,28/02/2020,,32,43
316,R8 Drugs,CALTRATE PLUS TABLET,,,MEDICINE,20/08/2019,,7.58,12
317,R8 Drugs,CATAPRES ,,75mcg TABLET,MEDICINE,20/03/2020,,31.25,42
318,R8 Drugs,CEELIN PLUS SYRUP ,,250mL,MEDICINE,20/06/2019,,222,290
319,R8 Drugs,CEELIN SYRUP PLAIN,,250mL SYRUP,MEDICINE,20/07/2019,,189,250
320,R8 Drugs,CELESTAMINE TAB,,,MEDICINE,20/07/2019,,20.5,28
321,R8 Drugs,CHERIFER PGM W/ZINC ,,CAP,MEDICINE,20/11/2019,,18,25
322,R8 Drugs,CHERIFER SYRUP ,,240mL,MEDICINE,20/01/2020,,246.5,300
323,R8 Drugs,DIANE 35 ,,PILLS,MEDICINE,20/05/2022,,608,730
324,R8 Drugs,DISUDRIN ,,120mL SYRUP,MEDICINE,20/07/2019,,155.6,205
325,R8 Drugs,EFFICASCENT OIL 50mL,,,MEDICINE,20/01/2023,,55,72
326,R8 Drugs,EYEBERRY CAP,,,MEDICINE,20/10/2020,,16,21
327,R8 Drugs,FOLART CAPSULE,,,MEDICINE,20/05/2020,,7.6,10
328,R8 Drugs,HAIR BLACK SHAMPOO,,,MEDICINE,20/01/2020,,5.625,10
329,R8 Drugs,IMMUNOMAX ,,10mg CAP,MEDICINE,20/05/2020,,14.5,19
330,R8 Drugs,MICROPIL PILLS TAB,,,MEDICINE,20/03/2020,,45,60
331,R8 Drugs,NIZORAL ,,5g CREAM,MEDICINE,20/05/2021,,190,230
332,R8 Drugs,OB MAX CAP,,CAP,MEDICINE,20/09/2019,,7.5,10
333,R8 Drugs,OMEGA PAIN KILLER ,,120mL,MEDICINE,20/10/2021,,98,130
334,R8 Drugs,POLYNERV ,,1g CAPLET,MEDICINE,0820-19,,16.5,37
335,R8 Drugs,PONSTAN ,,500mg CAPSULE,MEDICINE,20/06/2020,,35.2,43
336,R8 Drugs,PROPAN TLC ,,250mL SYRUP,MEDICINE,20/05/2019,,250,300
337,R8 Drugs,PTU ,,50mg TABLET,MEDICINE,20/03/2019,,8.48,12
338,R8 Drugs,RENALIN CAP,,,MEDICINE,07/01/2019,,9,12
339,R8 Drugs,TEMPRA FORTE 250mg ORANGE ,,60mL,MEDICINE,20/09/2019,,120.5,145
340,R8 Drugs,(TOBRADEX) TOBRAMYCIN ,,DROPS,MEDICINE,20/05/2019,,532,695
341,R8 Drugs,TRUST PILL TABLET,,,MEDICINE,20/04/2020,,36.9,60
342,R8 Drugs,VENTOLIN INHALER,,,MEDICINE,20/06/2019,,414,497
343,R8 Drugs,VICKS INHALER,,,MEDICINE,20/05/2019,,64,80
344,R8 Drugs,VICKS VAPORUB 50g,,,MEDICINE,20/05/2020,,137,165
345,R8 Drugs,VINO DE QUINA,,,MEDICINE,20/07/2019,,35.83333333,50
346,R8 Drugs,CHERIFER w/ ZINC ,,240mL,MEDICINE,20/01/2019,,264,320
347,R8 Drugs,CEBO DE MACHO 10 G,,,MEDICINE,20/05/2019,,117,15
348,R8 Drugs,EFFICASCENT OIL EXTREME ,,25 ML,MEDICINE,20/11/2019,,103.5,42
349,R8 Drugs,EFFICASCENT OIL EXTREME,,50 ML,MEDICINE,20/11/2019,,198,80
350,R8 Drugs,BONAMINE CHEW KIDS,,,MEDICINE,19/11/2019,,273,11
351,R8 Drugs,EXEL,CEFALEXIN,100mg DROPS,MEDICINE,20/12/2019,,35.25,35
352,R8 Drugs,(EXEL) CEFALEXIN SUSPENSION,EXEL,250mg,MEDICINE,20/12/2019,,59.4,55
353,R8 Drugs,BUSCOPAN VENUS,HYOSCINE + PARACETAMOL,,MEDICINE,19/02/2019,,26.55,32
354,R8 Drugs,DAFLON,DIOSMIN + HESPERIDIN,500 MG TAB,MEDICINE,20/11/2019,,39.4,48
355,R8 Drugs,DAKTARIN,MICONAZOLE ORAL GEL,3.5 G,MEDICINE,20/10/2019,,244,293
356,R8 Drugs,VICKS FORMULA 44,DEXTROMETORPHAN HBR,,MEDICINE,20/07/2019,,136,165
357,R8 Drugs,DOXYCYCLINE ,,100 MG CAP,MEDICINE,21/02/2019,,0.83,5
358,R8 Drugs,KATINKO OIL ,,50 ML,MEDICINE,19/01/2019,,72,87
359,R8 Drugs,ASCOF FORTE SYRUP MENTOL ,,60 ML,MEDICINE,30/04/2020,,99,120
360,R8 Drugs,ASCOF FORTE SYRUP MENTOL ,,120 ML,MEDICINE,02/01/2020,,148.5,180
361,R8 Drugs,ASCORBIC ACID 500 MG - RITEMED,,,MEDICINE,20/07/2019,,157,189
362,R8 Drugs,ATC FISH OIL SOFT GELS,,,MEDICINE,20/01/2020,,4.95,8
363,R8 Drugs,BETADINE WOUND SOLUTION ,,7.5 ML,MEDICINE,20/05/2022,,23.66,29
364,R8 Drugs,BETADINE WOUND SOLUTION ,,15 ML,MEDICINE,20/01/2022,,46,56
365,R8 Drugs,NUTRILIN SYRUP ,,120 ML,MEDICINE,20/04/2019,,152,183
366,R8 Drugs,OPTEIN CAPSULES,,,MEDICINE,20/11/2019,,25.5,31
367,R8 Drugs,PLEMEX KID SYRUP ,,60 ML,MEDICINE,20/12/2020,,91,110
368,R8 Drugs,PLEMEX KID SYRUP ,,120 ML,MEDICINE,20/09/2020,,122,147
369,R8 Drugs,ROBITUSSIN DM SYRUP ,,60 ML,MEDICINE,20/08/2020,,103,125
370,R8 Drugs,ROBITUSSIN DM SYRUP ,,120 ML,MEDICINE,20/12/2020,,163.5,196
