SKU,SUPPLIER,BRAND NAME,GENERIC NAME,UOM,CATEGORY,EXPIRY DATE,TOTAL PRICE,UNIT PRICE,SELLING PRICE,,,,,SELLING PRICE
564,Reddimart,BAMBINI - COLOGNE COTTON CUDDLES,,PC,NON- MEDICINE,,,28.88,35,,,,,
565,Reddimart,BAMBINI - COLOGNE MORNING TICKLES,,PC,NON- MEDICINE,,,28.88,35,,,,,
566,Reddimart,BAMBINI - COLOGNE OCEAN KISSES,,PC,NON- MEDICINE,,,28.88,35,,,,,
567,Reddimart,BAMBINI - COLOGNE STARRY LULLABY,,PC,NON- MEDICINE,,,28.88,35,,,,,
568,Reddimart,BAMBINI  - COLOGNE SUNNY PLAYTIME,,PC,NON- MEDICINE,,,28.88,35,,,,,
569,Reddimart,BIOGENIC - 70% ISOPROPYL 150mL,,150ML,NON- MEDICINE,,,25.99,30,,,,,
570,Reddimart,SILKA - MOISTURIZING SOAP (AVOCADO),,,NON- MEDICINE,,,29.4,35,,,,,
571,Reddimart,SILKA - PAPAYA SOAP,,,NON- MEDICINE,,,29.14,35,,,,,
572,Reddimart,SILKA - PREM WHITENING MILK & HONEY,,,NON- MEDICINE,,,89.25,100,,,,,
573,Reddimart,SILKA - PREM WHITENING OLIVE,,,NON- MEDICINE,,,93.98,105,,,,,
574,Reddimart,SILKA - SOAP W/ SHEA BUTTER,,,NON- MEDICINE,,,29.4,35,,,,,
575,Reddimart,SILKA - WHITENING LOTION LONG LASTING,,,NON- MEDICINE,,,64.31,75,,,,,
576,Reddimart,SILKA - WHITENING LOTION AGE DEFYING,,,NON- MEDICINE,,,64.31,75,,,,,
